LEA Code,LEA Name,Site Code,Site Name,In School Suspension,In School Expulsion,Out of School Suspension,Out of School Expulsion
001,Acadia Parish,001001,Armstrong Middle School                           ,51.35%,5.63%,34.23%,<5%
001,Acadia Parish,001002,Branch Elementary School                          ,<5%,<5%,11.7%,<5%
001,Acadia Parish,001004,Church Point Elementary School                    ,<5%,<5%,6.47%,<5%
001,Acadia Parish,001005,Church Point High School                          ,<5%,<5%,34.22%,<5%
001,Acadia Parish,001006,Church Point Middle School                        ,10.68%,<5%,37.72%,<5%
001,Acadia Parish,001007,Crowley High School                               ,40.78%,<5%,33.77%,<5%
001,Acadia Parish,001008,Crowley Middle School                             ,6.83%,<5%,25.09%,<5%
001,Acadia Parish,001010,North Crowley Elementary School                   ,<5%,<5%,8.87%,<5%
001,Acadia Parish,001011,Egan Elementary School                            ,<5%,<5%,5.9%,<5%
001,Acadia Parish,001012,Estherwood Elementary School                      ,<5%,<5%,<5%,<5%
001,Acadia Parish,001013,Evangeline Elementary School                      ,<5%,<5%,<5%,<5%
001,Acadia Parish,001014,Iota Elementary School                            ,<5%,<5%,<5%,<5%
001,Acadia Parish,001015,Iota Middle School                                ,<5%,<5%,14.56%,<5%
001,Acadia Parish,001016,Mermentau Elementary School                       ,<5%,<5%,<5%,<5%
001,Acadia Parish,001017,Midland High School                               ,<5%,<5%,8.03%,<5%
001,Acadia Parish,001018,Mire Elementary School                            ,8.66%,<5%,<5%,<5%
001,Acadia Parish,001019,Morse Elementary School                           ,<5%,<5%,<5%,<5%
001,Acadia Parish,001020,Martin Petitjean Elementary School                ,<5%,<5%,10.14%,<5%
001,Acadia Parish,001021,Rayne High School                                 ,19.33%,<5%,21.71%,<5%
001,Acadia Parish,001022,Richard Elementary School                         ,<5%,<5%,<5%,<5%
001,Acadia Parish,001023,Ross Elementary School                            ,21.05%,<5%,22.56%,<5%
001,Acadia Parish,001024,South Crowley Elementary School                   ,12.91%,<5%,8.52%,<5%
001,Acadia Parish,001025,South Rayne Elementary School                     ,33.22%,<5%,19.87%,<5%
001,Acadia Parish,001034,Iota High School                                  ,<5%,<5%,9.98%,<5%
002,Allen Parish,002001,Elizabeth High School                             ,<5%,<5%,<5%,<5%
002,Allen Parish,002002,Fairview High School                              ,<5%,<5%,<5%,<5%
002,Allen Parish,002003,Kinder Elementary School                          ,<5%,<5%,<5%,<5%
002,Allen Parish,002004,Kinder High School                                ,29.25%,<5%,8.66%,<5%
002,Allen Parish,002005,Oakdale Elementary School                         ,<5%,<5%,<5%,<5%
